X,citycode,yearweek,avg_tem,hw_days,avg_SO2,avg_NO2,avg_co,avg_O3,avg_PM10,week.Year,week.Month,gdp,soil.moisture,avg_PM2.5,NDVI,pop,pd,Cropland,Forest,Shrub,Grassland,Water,Ice,Barren,Impervious,Wetland,Cropland_per,Forest_per,Shrub_per,Grassland_per,Water_per,Ice_per,Barren_per,Impervious_per,Wetland_per
1100002013,110000,1100002013-32,26.34053812,6,12.590312,27.550986,64.6510544,123.16088,97.896772,2013,8,96132.4948,0.240120201,64.65105437,0.723289423,19896172,1222.013849,4456121400,7816329000,41887800,442769400,166225500,0,853200,3375193500,0,0.27339208,0.47954763,0.0025699,0.0271648,0.01019827,0,0.00005235,0.20707496,0
1100002013,110000,1100002013-17,17.27938366,0,24.727505,35.437275,66.7590936,125.79716,119.88239,2013,4,96132.4948,0.17792109,66.75909361,0.723289423,19896172,1222.013849,4456121400,7816329000,41887800,442769400,166225500,0,853200,3375193500,0,0.27339208,0.47954763,0.0025699,0.0271648,0.01019827,0,0.00005235,0.20707496,0
1100002013,110000,1100002013-18,20.05450205,0,25.76716,37.08982,75.2800771,124.56591,133.302934,2013,5,96132.4948,0.18616988,75.28007708,0.723289423,19896172,1222.013849,4456121400,7816329000,41887800,442769400,166225500,0,853200,3375193500,0,0.27339208,0.47954763,0.0025699,0.0271648,0.01019827,0,0.00005235,0.20707496,0
1100002013,110000,1100002013-49,-3.401005414,0,39.415518,38.360592,38.0648903,51.20121,68.348044,2013,12,96132.4948,0.178420866,38.06489025,0.723289423,19896172,1222.013849,4456121400,7816329000,41887800,442769400,166225500,0,853200,3375193500,0,0.27339208,0.47954763,0.0025699,0.0271648,0.01019827,0,0.00005235,0.20707496,0
1100002013,110000,1100002013-05,-7.553887909,0,48.672825,38.366257,60.9257191,68.54012,95.230217,2013,2,96132.4948,0.159129479,60.92571913,0.723289423,19896172,1222.013849,4456121400,7816329000,41887800,442769400,166225500,0,853200,3375193500,0,0.27339208,0.47954763,0.0025699,0.0271648,0.01019827,0,0.00005235,0.20707496,0
1100002013,110000,1100002013-06,-3.459967895,0,56.324221,46.677751,89.2520931,69.06332,134.699468,2013,2,96132.4948,0.159129479,89.25209311,0.723289423,19896172,1222.013849,4456121400,7816329000,41887800,442769400,166225500,0,853200,3375193500,0,0.27339208,0.47954763,0.0025699,0.0271648,0.01019827,0,0.00005235,0.20707496,0
1100002013,110000,1100002013-07,-2.079409762,0,53.654434,51.563301,82.6608116,71.10314,121.571646,2013,2,96132.4948,0.159129479,82.66081161,0.723289423,19896172,1222.013849,4456121400,7816329000,41887800,442769400,166225500,0,853200,3375193500,0,0.27339208,0.47954763,0.0025699,0.0271648,0.01019827,0,0.00005235,0.20707496,0
1100002013,110000,1100002013-38,14.57898947,0,16.518637,40.43473,75.2132752,74.01303,118.421236,2013,9,96132.4948,0.240264594,75.21327523,0.723289423,19896172,1222.013849,4456121400,7816329000,41887800,442769400,166225500,0,853200,3375193500,0,0.27339208,0.47954763,0.0025699,0.0271648,0.01019827,0,0.00005235,0.20707496,0
1100002013,110000,1100002013-39,15.39057939,0,18.227504,45.91248,100.820927,78.26771,146.141094,2013,9,96132.4948,0.240264594,100.820927,0.723289423,19896172,1222.013849,4456121400,7816329000,41887800,442769400,166225500,0,853200,3375193500,0,0.27339208,0.47954763,0.0025699,0.0271648,0.01019827,0,0.00005235,0.20707496,0
1100002013,110000,1100002013-11,1.458040506,0,32.993104,39.285797,65.1690565,78.11546,113.650377,2013,3,96132.4948,0.182268629,65.16905653,0.723289423,19896172,1222.013849,4456121400,7816329000,41887800,442769400,166225500,0,853200,3375193500,0,0.27339208,0.47954763,0.0025699,0.0271648,0.01019827,0,0.00005235,0.20707496,0
1100002013,110000,1100002013-14,7.869114577,0,18.97225,27.421265,33.4989996,88.24535,87.82289,2013,4,96132.4948,0.17792109,33.49899962,0.723289423,19896172,1222.013849,4456121400,7816329000,41887800,442769400,166225500,0,853200,3375193500,0,0.27339208,0.47954763,0.0025699,0.0271648,0.01019827,0,0.00005235,0.20707496,0
1100002013,110000,1100002013-30,25.05335591,2,12.598522,30.19959,54.7907142,145.53805,94.394337,2013,7,96132.4948,0.255997905,54.79071416,0.723289423,19896172,1222.013849,4456121400,7816329000,41887800,442769400,166225500,0,853200,3375193500,0,0.27339208,0.47954763,0.0025699,0.0271648,0.01019827,0,0.00005235,0.20707496,0
